Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
2008-03-12,4872.0,5019.2,4854.75,4869.75,0,5087.27,5390.66,-137.06,-120.33,36.21,5466.55,4707.98
2008-03-13,4623.6,4868.8,4580.15,4868.7,0,5071.97,5359.55,-154.57,-127.17,27.0,5499.63,4644.32
2008-03-14,4745.8,4758.95,4607.55,4623.8,0,5049.16,5330.89,-156.78,-133.1,35.7,5495.86,4602.47
2008-03-17,4503.1,4745.45,4482.1,4745.45,0,5009.17,5295.47,-176.09,-141.69,25.59,5501.14,4517.21
2008-03-18,4533.0,4617.95,4468.55,4519.9,0,4971.98,5260.55,-186.82,-150.72,23.48,5490.48,4453.48
2008-03-19,4573.95,4718.4,4533.9,4534.75,0,4936.64,5226.27,-189.83,-158.54,25.7,5462.81,4410.46
2008-03-24,4609.85,4649.45,4539.8,4576.8,0,4909.41,5193.03,-187.17,-164.27,26.69,5444.42,4374.4
2008-03-25,4877.5,4896.8,4616.8,4616.8,0,4893.69,5167.44,-161.6,-163.73,39.54,5411.98,4375.41
2008-03-26,4828.85,4912.3,4808.65,4878.7,0,4879.6,5140.01,-143.6,-159.71,45.67,5388.27,4370.92
2008-03-27,4830.25,4863.75,4769.6,4828.8,0,4861.08,5112.48,-127.75,-153.32,48.74,5346.99,4375.16
2008-03-28,4942.0,4970.8,4796.35,4830.0,0,4844.67,5089.84,-104.97,-143.65,50.74,5293.16,4396.18
2008-03-31,4734.5,4947.0,4703.85,4942.15,0,4817.98,5065.81,-102.47,-135.41,48.73,5221.59,4414.37
2008-04-01,4739.55,4800.75,4628.75,4735.65,0,4790.7,5042.34,-98.94,-128.12,47.88,5130.0,4451.4
2008-04-02,4754.2,4916.75,4741.4,4741.4,0,4767.24,5023.32,-93.88,-121.27,45.96,5038.62,4495.85
2008-04-03,4771.6,4833.25,4738.2,4753.9,0,4758.17,5014.57,-87.46,-114.51,46.4,5015.16,4501.17
2008-04-04,4647.0,4791.7,4632.7,4766.7,0,4747.3,5009.53,-91.37,-109.88,50.92,5003.78,4490.83
2008-04-07,4761.2,4798.55,4628.8,4631.35,0,4739.29,5000.68,-84.29,-104.76,50.61,4982.54,4496.04
2008-04-08,4709.65,4769.55,4677.8,4760.65,0,4736.2,4994.21,-81.89,-100.19,59.64,4979.29,4493.1
2008-04-09,4747.05,4758.25,4667.5,4707.05,0,4733.53,4981.48,-76.09,-95.37,59.92,4974.82,4492.24
2008-04-10,4733.0,4799.5,4720.9,4747.55,0,4726.88,4970.66,-71.8,-90.65,57.56,4960.01,4493.76
2008-04-11,4777.8,4817.4,4727.25,4734.35,0,4722.17,4960.6,-64.05,-85.33,57.92,4946.59,4497.75
2008-04-15,4879.65,4917.1,4708.3,4779.95,0,4734.98,4954.84,-49.12,-78.09,50.12,4964.87,4505.08
2008-04-16,4887.3,4951.4,4874.05,4881.65,0,4742.05,4949.84,-36.26,-69.72,53.42,4981.84,4502.26
2008-04-17,4958.4,4984.95,4889.65,4890.6,0,4764.81,4942.66,-20.09,-59.8,56.94,4995.36,4534.27
2008-04-21,5037.0,5053.4,4955.9,4955.9,0,4790.01,4934.13,-0.93,-48.02,55.33,5024.03,4556.0
2008-04-22,5049.3,5074.25,4994.05,5037.05,0,4813.78,4925.44,15.08,-35.4,72.64,5051.92,4575.65
2008-04-23,5022.8,5083.5,5003.55,5044.35,0,4834.43,4919.44,25.33,-23.25,69.76,5069.71,4599.15
2008-04-24,4999.85,5072.7,4991.35,5022.9,0,4840.55,4916.77,31.25,-12.35,66.94,5086.65,4594.44
2008-04-25,5111.7,5117.7,4999.15,4999.15,0,4854.69,4916.6,44.45,-0.99,70.75,5128.87,4580.51
2008-04-28,5089.65,5147.45,5079.15,5112.5,0,4867.66,4921.25,52.53,9.71,80.87,5160.86,4574.46
2008-04-29,5195.5,5210.9,5082.15,5092.4,0,4880.33,4928.4,66.7,21.11,80.65,5207.06,4553.61
2008-04-30,5165.9,5230.75,5155.85,5198.35,0,4901.9,4933.13,74.68,31.82,83.23,5244.66,4559.15
2008-05-02,5228.2,5298.85,5197.6,5265.3,0,4926.34,4933.65,85.06,42.47,83.81,5289.43,4563.25
2008-05-05,5192.25,5254.5,5182.6,5227.25,0,4948.24,4931.44,89.35,51.85,81.31,5320.35,4576.13
2008-05-06,5144.65,5206.5,5110.9,5192.35,0,4966.89,4928.79,87.89,59.05,74.92,5339.12,4594.67
2008-05-07,5135.5,5159.05,5101.25,5156.7,0,4991.32,4925.89,85.02,64.25,69.88,5338.42,4644.22
2008-05-08,5081.7,5143.05,5062.45,5135.8,0,5007.34,4924.43,77.51,66.9,64.1,5338.96,4675.73
2008-05-09,4982.6,5087.65,4969.4,5070.85,0,5020.99,4920.25,62.84,66.09,51.69,5322.08,4719.9
2008-05-12,5012.65,5021.75,4913.8,4981.0,0,5034.27,4918.29,53.02,63.48,48.18,5306.54,4762.0
2008-05-13,4957.8,5066.0,4943.75,5008.6,0,5045.51,4913.43,40.35,58.85,43.57,5281.57,4809.45
2008-05-14,5011.75,5026.1,4932.05,4958.45,0,5057.21,4908.26,34.27,53.94,49.25,5257.95,4856.46
2008-05-15,5115.25,5118.55,4999.6,5010.9,0,5068.99,4905.2,37.37,50.62,57.04,5252.8,4885.18
2008-05-16,5157.7,5167.4,5106.4,5115.65,0,5082.51,4902.65,42.76,49.05,53.07,5249.01,4916.0
2008-05-20,5104.95,5160.05,5072.4,5157.0,0,5089.84,4900.28,42.29,47.7,50.98,5245.91,4933.76
2008-05-21,5117.65,5135.55,5048.7,5105.7,0,5093.87,4903.57,42.45,46.65,44.34,5248.36,4939.38
2008-05-22,5025.45,5118.9,5010.7,5117.0,0,5092.68,4906.8,34.74,44.27,40.64,5248.97,4936.38
2008-05-23,4946.55,5059.05,4940.7,5026.55,0,5088.86,4907.3,22.01,39.81,31.64,5255.7,4922.03
2008-05-26,4875.05,4953.6,4858.0,4953.6,0,5082.62,4909.37,6.08,33.07,30.24,5271.37,4893.87
2008-05-27,4859.8,4932.0,4846.2,4877.15,0,5070.03,4910.56,-7.69,24.92,31.51,5282.71,4857.35
2008-05-28,4918.35,4926.9,4835.65,4862.7,0,5061.46,4911.61,-13.72,17.19,36.75,5284.37,4838.56
2008-05-29,4835.3,4957.4,4801.9,4926.3,0,5043.45,4910.87,-24.91,8.77,35.49,5278.63,4808.28
2008-05-30,4870.1,4908.85,4833.45,4844.05,0,5028.66,4915.8,-30.62,0.89,42.83,5268.57,4788.75
2008-06-02,4739.6,4908.8,4713.0,4869.25,0,5004.23,4915.68,-45.15,-8.32,34.57,5257.71,4750.75
2008-06-03,4715.9,4739.3,4634.0,4739.3,0,4980.41,4919.93,-57.91,-18.24,35.83,5248.6,4712.23
2008-06-04,4585.6,4731.5,4564.5,4718.7,0,4952.46,4920.99,-77.65,-30.12,27.09,5261.93,4642.99
2008-06-05,4676.95,4690.6,4536.25,4586.95,0,4929.54,4923.05,-84.94,-41.08,26.13,5249.67,4609.4
2008-06-06,4627.8,4746.3,4614.25,4680.55,0,4906.84,4923.41,-93.6,-51.59,21.35,5245.38,4568.3
2008-06-09,4500.95,4626.45,4411.6,4626.45,0,4882.76,4915.87,-109.44,-63.16,19.76,5264.39,4501.13
2008-06-10,4449.8,4522.55,4369.8,4522.0,0,4854.61,4908.29,-124.68,-75.46,17.81,5276.78,4432.45
2008-06-11,4523.6,4541.05,4468.05,4469.65,0,4832.91,4902.16,-129.32,-86.23,25.37,5276.82,4388.99
2008-06-12,4539.35,4550.0,4392.0,4524.4,0,4809.29,4894.11,-130.22,-95.03,28.7,5263.29,4355.28
2008-06-13,4517.1,4563.35,4491.35,4539.5,0,4779.38,4889.76,-131.22,-102.27,30.26,5227.28,4331.47
