Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
1998-04-22,4179.44,4322.0,4179.44,4305.61,0,4061.19,3764.84,126.36,125.4,67.0,4319.35,3803.04
1998-04-29,3970.28,4085.76,3964.95,4076.23,0,4093.08,3836.33,62.48,96.97,37.78,4305.69,3880.47
1998-05-08,4022.2,4056.46,4014.72,4049.13,0,4120.72,3907.5,38.75,63.61,43.19,4275.23,3966.22
1998-05-18,3908.48,3943.16,3890.84,3892.54,0,4051.87,3950.79,-23.45,14.14,40.32,4310.4,3793.34
1998-05-25,3908.11,3934.0,3878.04,3882.03,0,3982.03,3974.19,-28.61,-13.25,44.17,4182.69,3781.36
1998-06-01,3642.68,3823.15,3640.3,3737.25,0,3903.23,3972.61,-75.51,-43.2,30.34,4175.97,3630.49
1998-06-08,3416.73,3492.48,3256.51,3455.57,0,3761.74,3942.39,-133.72,-91.32,10.6,4113.71,3409.77
1998-06-15,3152.96,3344.49,3151.23,3344.49,0,3623.31,3881.88,-175.96,-137.53,11.85,4112.36,3134.26
1998-06-22,3078.51,3097.95,2951.45,3063.15,0,3447.34,3806.82,-183.51,-164.11,29.64,3900.93,2993.75
1998-06-29,3289.56,3291.18,3171.25,3171.25,0,3304.58,3708.55,-151.5,-168.44,43.29,3637.67,2971.48
1998-07-06,3178.31,3179.63,3111.02,3111.02,0,3223.44,3607.29,-119.87,-140.16,50.7,3447.96,2998.92
1998-07-13,3322.17,3461.12,3320.11,3426.83,0,3217.55,3531.66,-52.71,-96.46,65.4,3419.01,3016.08
1998-07-20,3384.75,3472.0,3376.48,3471.45,0,3267.82,3465.66,2.81,-39.17,58.02,3513.31,3022.34
1998-07-27,3085.17,3213.12,3079.43,3172.67,0,3284.51,3401.61,-36.72,-24.11,43.61,3516.58,3052.44
1998-08-03,3112.95,3159.02,3108.03,3159.02,0,3284.2,3328.16,-48.92,-37.62,33.3,3513.41,3054.99
1998-08-10,3020.71,3056.22,3017.33,3056.22,0,3230.93,3262.74,-70.23,-54.12,24.14,3509.96,2951.9
1998-08-17,2917.07,3002.17,2917.07,2983.4,0,3116.72,3207.65,-93.61,-77.06,23.75,3365.83,2867.61
1998-08-24,2950.44,2958.45,2899.67,2928.08,0,3038.4,3167.64,-88.91,-88.87,35.28,3265.66,2811.15
1998-09-01,2862.55,2882.88,2850.3,2862.24,0,2975.88,3139.58,-74.81,-79.59,41.33,3132.8,2818.96
1998-09-08,3096.1,3105.24,3041.09,3054.31,0,2950.72,3121.2,-33.58,-61.62,66.89,3068.83,2832.6
1998-09-15,3162.18,3176.42,3151.19,3154.01,0,2991.78,3114.99,15.53,-19.54,65.57,3189.0,2794.56
1998-09-22,3095.25,3103.87,3070.68,3091.04,0,3037.36,3095.57,18.98,7.2,74.16,3230.22,2844.5
1998-09-29,3146.83,3235.03,3125.47,3230.84,0,3100.63,3072.7,37.76,26.0,55.79,3280.18,2921.08
1998-10-08,2896.14,3045.54,2896.14,3029.1,0,3094.42,3045.16,-22.77,5.02,34.7,3293.39,2895.46
1998-10-15,2857.27,2895.28,2848.55,2875.06,0,3031.95,3014.08,-56.5,-30.99,34.15,3302.31,2761.58
1998-10-26,2889.71,2922.32,2878.98,2908.51,0,2962.5,2988.2,-66.04,-54.99,38.06,3267.22,2657.79
1998-11-02,2811.44,2822.29,2774.11,2820.23,0,2875.5,2976.21,-56.94,-56.81,39.83,3027.07,2723.93
1998-11-10,3004.67,3005.29,2963.58,2992.47,0,2861.62,2974.45,-18.47,-43.04,64.93,2980.65,2742.59
1998-11-17,2968.6,2973.9,2947.4,2947.4,0,2886.96,2978.51,6.73,-12.69,58.06,3043.34,2730.58
1998-11-24,2903.56,2936.74,2901.44,2925.57,0,2916.69,2974.59,3.41,1.16,59.61,3057.38,2775.99
1998-12-01,2804.03,2822.21,2790.32,2803.73,0,2912.02,2944.3,-28.75,-12.84,29.0,3064.54,2759.49
1998-12-08,2945.64,2945.64,2900.2,2927.95,0,2902.57,2920.53,-14.57,-20.63,43.15,3051.38,2753.76
1998-12-15,2927.48,2974.08,2926.36,2968.39,0,2901.29,2898.78,12.67,-1.51,55.32,3048.7,2753.88
1998-12-22,2976.58,2988.46,2949.34,2984.8,0,2895.98,2895.21,10.86,4.77,66.69,3041.4,2750.56
1998-12-30,3110.33,3118.59,3072.61,3074.44,0,2947.61,2910.57,36.62,18.58,66.0,3103.98,2791.25
1999-01-07,3299.09,3321.47,3239.65,3239.85,0,3022.26,2944.44,75.82,45.72,77.35,3242.1,2802.43
1999-01-14,3292.28,3333.8,3251.18,3251.18,0,3119.1,2996.22,110.04,88.73,72.33,3474.52,2763.68
1999-01-22,3297.86,3375.23,3288.47,3351.67,0,3204.44,3032.34,84.57,88.95,63.83,3485.39,2923.48
1999-02-01,3265.91,3361.92,3265.91,3331.91,0,3274.45,3065.57,67.57,79.86,40.88,3458.73,3090.16
1999-02-08,3183.64,3280.63,3182.47,3253.93,0,3290.37,3093.91,30.12,54.92,48.07,3419.0,3161.74
1999-02-15,3315.08,3394.01,3315.07,3378.57,0,3275.08,3141.44,34.95,39.22,50.57,3375.7,3174.46
1999-02-22,3303.89,3397.33,3300.67,3370.6,0,3292.97,3188.5,37.03,38.88,58.02,3397.66,3188.28
1999-03-01,3523.98,3539.62,3417.22,3447.5,0,3296.62,3223.7,34.38,30.94,75.23,3444.36,3148.89
1999-03-09,3784.11,3796.84,3744.24,3758.48,0,3409.52,3299.33,117.08,72.48,78.09,3760.38,3058.66
1999-03-16,3744.18,3793.58,3744.18,3765.03,0,3517.84,3369.53,129.2,109.23,74.36,3926.89,3108.79
1999-03-24,3682.69,3772.95,3618.6,3768.91,0,3608.23,3422.88,102.02,109.57,52.97,3975.02,3241.44
1999-04-05,3519.39,3625.21,3499.83,3625.21,0,3689.03,3451.68,58.19,86.05,37.54,3821.58,3556.49
1999-04-12,3463.77,3469.44,3381.31,3437.07,0,3648.62,3477.0,1.04,41.84,37.61,3847.58,3449.66
1999-04-20,3443.99,3479.21,3406.67,3459.81,0,3580.74,3492.05,-26.96,-0.49,42.7,3815.29,3346.19
1999-04-27,3245.27,3322.89,3239.47,3296.23,0,3494.32,3504.46,-64.77,-32.24,31.54,3759.64,3229.01
1999-05-05,3557.07,3606.49,3495.3,3516.73,0,3434.83,3515.58,-34.27,-46.96,54.61,3647.24,3222.42
1999-05-12,3876.89,3983.58,3794.65,3941.2,0,3502.57,3560.84,76.28,13.05,72.96,3900.16,3104.99
1999-05-19,4123.58,4156.19,4057.4,4089.07,0,3654.98,3635.39,159.96,98.29,93.85,4280.13,3029.84
1999-05-26,3973.3,4087.65,3921.76,4074.49,0,3824.34,3670.39,141.99,134.56,69.47,4387.03,3261.65
1999-06-02,3935.82,3943.14,3870.16,3921.14,0,3944.98,3686.43,81.77,107.08,45.57,4208.79,3681.18
1999-06-09,4041.89,4121.74,4040.24,4098.14,0,4005.44,3719.73,83.38,90.86,47.75,4173.55,3837.34
1999-06-16,4021.4,4031.0,3876.56,3922.71,0,3983.53,3753.19,52.9,71.49,59.7,4139.85,3827.21
